nullremote_url,video_duration,audio_only,reference_id,remote_stream_name,current_filename,type,controller_type,account_id,size,updated_at,uploaded_at,cdn_origin_id,progressive_download,name,id,complete,video_codec,video_container
https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/994999/index.m3u8,173160,false,,,,HLS_MANIFEST,DEFAULT,6057984922001,0,2019-11-07T01:06:57.157Z,2019-11-07T01:06:57.157Z,,false,,6101267542001,true,,
https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_afl_portadelaide_vod/2019/06/994999/VOD_Source/2019-06-21_12-28-22-1753/output_700kbps_360p.mp4,173160,false,,,,FULL_LENGTH,DEFAULT,6057984922001,0,2019-11-07T01:06:57.752Z,2019-11-07T01:06:57.752Z,,true,,6101267736001,true,H264,MP4
https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/994954/index.m3u8,406000,false,,,,HLS_MANIFEST,DEFAULT,6057984922001,0,2019-11-07T01:05:12.560Z,2019-11-07T01:05:12.560Z,,false,,6101267622001,true,,
https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_aflfilms_vod/2019/06/994947/VOD_Source/994954/2019-06-21_12-31-22-9571/output_700kbps_360p.mp4,406000,false,,,,FULL_LENGTH,DEFAULT,6057984922001,0,2019-11-07T01:05:13.163Z,2019-11-07T01:05:13.163Z,,true,,6101267795001,true,H264,MP4
https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/994944/index.m3u8,406000,false,,,,HLS_MANIFEST,DEFAULT,6057984922001,0,2019-11-07T01:04:19.977Z,2019-11-07T01:04:19.977Z,,false,,6101266160001,true,,
https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_aflfilms_vod/2019/06/994947/VOD_Source/994944/2019-06-20_11-44-53-2226/output_700kbps_360p.mp4,406000,false,,,,FULL_LENGTH,DEFAULT,6057984922001,0,2019-11-07T01:04:20.558Z,2019-11-07T01:04:20.557Z,,true,,6101266346001,true,H264,MP4
https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/994912/index.m3u8,95240,false,,,,HLS_MANIFEST,DEFAULT,6057984922001,0,2019-11-07T01:04:13.473Z,2019-11-07T01:04:13.472Z,,false,,6101266268001,true,,
https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_afl_collingwood_vod/2019/06/994912/VOD_Source/2019-06-20_05-36-05-5863/output_700kbps_360p.mp4,95240,false,,,,FULL_LENGTH,DEFAULT,6057984922001,0,2019-11-07T01:04:14.114Z,2019-11-07T01:04:14.114Z,,true,,6101267604001,true,H264,MP4
76200,,,FULL_LENGTH,DEFAULT,2019-11-07T01:06:14.863Z,6101267528001,https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_afl_geelong_vod/2019/06/994859/VOD_Source/2019-06-20_01-32-49-1987/output_700kbps_360p.mp4,H264,false,,6057984922001,0,2019-11-07T01:06:14.863Z,,true,MP4,,true
76200,,,HLS_MANIFEST,DEFAULT,2019-11-07T01:06:14.248Z,6101267816001,https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/994859/index.m3u8,,false,,6057984922001,0,2019-11-07T01:06:14.248Z,,false,,,true
https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/994757/index.m3u8,145000,false,,,,HLS_MANIFEST,DEFAULT,6057984922001,0,2019-11-07T01:04:31.548Z,2019-11-07T01:04:31.548Z,,false,,6101267692001,true,,
https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_afl_portadelaide_vod/2019/06/994757/VOD_Source/2019-06-19_04-05-50-5007/output_700kbps_360p.mp4,145000,false,,,,FULL_LENGTH,DEFAULT,6057984922001,0,2019-11-07T01:04:32.157Z,2019-11-07T01:04:32.157Z,,true,,6101267693001,true,H264,MP4
46520,,,FULL_LENGTH,DEFAULT,2019-11-07T01:05:42.867Z,6101265955001,https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_afl_portadelaide_vod/2019/06/994598/VOD_Source/2019-06-17_04-10-36-2706/output_700kbps_360p.mp4,H264,false,,6057984922001,0,2019-11-07T01:05:42.867Z,,true,MP4,,true
